"celebros_main::NOTIFICATION_TEXT","Celebros veröffentlicht neue Versionen unserer Magento-Erweiterungen regelmäßig, um weitere Funktionen hinzuzufügen, Fehler zu beheben oder mit der neuen Magento-Version kompatibel zu sein. Daher müssen Sie auch die Magento-Erweiterungen auf Ihrer Site auf die neueste Version aktualisieren."
"Most recent %1 release", "Letzte %1 Version"
"stable","stabil"
"critical","kritisch"
"Installed","Eingerichtet"
"more versions","Weitere Versionen"
"Normal","Normal"
"Critical","Kritisch"
"Installed Extensions", "Installierte Erweiterungen "
